time,diameter_km,mean_precip,area_km2,frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time.1,timestr,latitude,longitude,area,date,cell,time_cell,cell_parent_track_id,cell_child_feature_count,cell_starts_with_split,cell_ends_with_merge,Merge,Split,Both,Free
2021-07-28 09:30:00,1.6371656181966845,9.6,2.105111542041246,0,176,45.0,63.5,2,5.0,10,2021-07-28 09:30:00,2021-07-28 09:30:00,31.5450000000045,-97.36000093258087,,2021-07-28,10,0 days 00:00:00,1,3,False,False,,,,Free
2021-07-28 09:30:00,10.545687903826218,106.07406,87.34533405341168,0,199,281.65257093425527,430.5088383296506,82,5.0,29,2021-07-28 09:30:00,2021-07-28 09:30:00,29.178474290661576,-93.68991265416122,,2021-07-28,29,0 days 00:00:00,3,4,False,False,,,,Free
2021-07-28 09:45:00,1.6371656181966845,9.6,2.105111542041246,1,224,45.0,63.5,2,5.0,62,2021-07-28 09:45:00,2021-07-28 09:45:00,31.5450000000045,-97.36000093258087,,2021-07-28,10,0 days 00:15:00,1,3,False,False,,,,Free
2021-07-28 09:45:00,13.359898882260476,81.895386,140.18328199298156,1,246,281.8185746866988,428.6394101714654,130,5.0,77,2021-07-28 09:45:00,2021-07-28 09:45:00,29.17681425313714,-93.70860693520882,,2021-07-28,29,0 days 00:15:00,3,4,False,False,,,,Free
2021-07-28 09:45:00,9.452465046579611,60.84923,70.1746154730013,1,249,294.158173087377,394.8719629663119,65,5.0,80,2021-07-28 09:45:00,2021-07-28 09:45:00,29.05341826913034,-94.04628139761098,,2021-07-28,74,0 days 00:00:00,4,4,False,False,,,,Free
2021-07-28 09:45:00,4.406636019034708,24.000002,15.251207900782838,1,257,388.3872875031435,138.2342941436348,15,5.0,88,2021-07-28 09:45:00,2021-07-28 09:45:00,28.111127124972526,-96.61265801250067,,2021-07-28,79,0 days 00:00:00,5,3,False,False,,,,Free
2021-07-28 09:45:00,9.872495839562424,15.634286,76.54975413322603,1,260,430.5926920904814,209.744492204456,70,5.0,91,2021-07-28 09:45:00,2021-07-28 09:45:00,27.68907307909908,-95.89755605232732,,2021-07-28,81,0 days 00:00:00,6,3,False,False,,,,Free
2021-07-28 10:00:00,17.06194489793187,136.89056,228.6372308367276,2,248,282.317162077284,428.1569979810962,217,5.0,129,2021-07-28 10:00:00,2021-07-28 10:00:00,29.17182837923129,-93.71343105697468,,2021-07-28,29,0 days 00:30:00,3,4,False,False,,,,Free
2021-07-28 10:00:00,12.128650664642349,119.50655,115.53534254665908,2,251,295.685068804802,393.2422585344996,107,5.0,132,2021-07-28 10:00:00,2021-07-28 10:00:00,29.038149311956087,-94.06257844146336,,2021-07-28,74,0 days 00:15:00,4,4,False,False,,,,Free
2021-07-28 10:00:00,5.64820856771803,16.69565,25.055976431425645,2,259,388.8460966502422,137.88921931870362,23,5.0,138,2021-07-28 10:00:00,2021-07-28 10:00:00,28.10653903350154,-96.6161087606514,,2021-07-28,79,0 days 00:15:00,5,3,False,False,,,,Free
2021-07-28 10:00:00,10.355185920848012,24.81039,84.2181472439524,2,262,432.7764520964764,208.9525370427341,77,5.0,140,2021-07-28 10:00:00,2021-07-28 10:00:00,27.667235479039128,-95.90547560371824,,2021-07-28,81,0 days 00:15:00,6,3,False,False,,,,Free
2021-07-28 10:15:00,4.010453074341974,9.599999,12.632135035394658,3,152,46.0,66.84615384615384,13,5.0,152,2021-07-28 10:15:00,2021-07-28 10:15:00,31.53500000000449,-97.32653939507554,,2021-07-28,10,0 days 00:45:00,1,3,False,False,,,,Free
2021-07-28 10:15:00,20.09358455799648,190.69388,317.1061895295878,3,170,283.85388504700666,427.2905630705503,294,5.0,166,2021-07-28 10:15:00,2021-07-28 10:15:00,29.15646114953406,-93.72209540583252,,2021-07-28,29,0 days 00:45:00,3,4,False,False,,,,Free
2021-07-28 10:15:00,13.057711247256997,113.03226,133.91338944959264,3,172,297.19171395335445,390.29207226205983,124,5.0,168,2021-07-28 10:15:00,2021-07-28 10:15:00,29.02308286047056,-94.09208030334474,,2021-07-28,74,0 days 00:30:00,4,4,False,False,,,,Free
2021-07-28 10:15:00,5.769704881060668,13.600001,26.14550777360563,3,178,388.8682170496072,137.77519379594236,24,5.0,174,2021-07-28 10:15:00,2021-07-28 10:15:00,28.10631782950789,-96.61724901584644,,2021-07-28,79,0 days 00:30:00,5,3,False,False,,,,Free
2021-07-28 10:15:00,8.42827162802564,27.858824,55.79135750968023,3,182,432.9186824896476,209.0217876161873,51,5.0,177,2021-07-28 10:15:00,2021-07-28 10:15:00,27.665813175107417,-95.90478309800346,,2021-07-28,81,0 days 00:30:00,6,3,False,False,,,,Free
2021-07-28 10:30:00,15.468291359924583,56.055172,187.9206772872311,4,166,299.73870974697047,388.12816993043344,175,5.0,204,2021-07-28 10:30:00,2021-07-28 10:30:00,28.9976129025344,-94.1137193260426,,2021-07-28,74,0 days 00:45:00,4,4,False,False,,,,Free
2021-07-28 10:30:00,5.9140865314968725,17.664,27.47041563911518,4,182,482.9260896954573,96.81238153925656,25,5.0,220,2021-07-28 10:30:00,2021-07-28 10:30:00,27.16573910304924,-97.02687712670767,,2021-07-28,170,0 days 00:00:00,9,8,False,False,,,,Free
