time,diameter_km,mean_precip,area_km2,frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time.1,timestr,latitude,longitude,area,date,cell,time_cell,cell_parent_track_id,cell_child_feature_count,cell_starts_with_split,cell_ends_with_merge,Merge,Split,Both,Free
2024-06-01 08:15:00,2.032471858638236,9.6,3.244434146926856,33,162,311.6666666666667,197.3333333333333,3,5.0,467,2024-06-01 08:15:00,2024-06-01 08:15:00,28.878333333337416,-96.02166763749192,,2024-06-01,365,0 days 00:30:00,9,3,False,False,,,,Free
2024-06-01 08:15:00,2.6346905941931604,318.72003,5.451915592657609,33,178,398.0854264966905,25.425474956695155,5,5.0,474,2024-06-01 08:15:00,2024-06-01 08:15:00,28.014145735037044,-97.74074617213375,,2024-06-01,306,0 days 01:00:00,6,5,False,False,,,,Free
2024-06-01 08:30:00,9.436921131871996,22.449232,69.94401078525723,34,118,259.7538353026077,115.12255333526416,65,5.0,479,2024-06-01 08:30:00,2024-06-01 08:30:00,29.397461646978087,-96.84377541397998,,2024-06-01,400,0 days 00:15:00,10,3,False,False,,,,Free
2024-06-01 08:30:00,10.213415341509714,19.705263,81.92790851456277,34,126,278.5777194561816,108.05030622893938,102,5.0,485,2024-06-01 08:30:00,2024-06-01 08:30:00,29.20922280544232,-96.91449788302224,,2024-06-01,404,0 days 00:15:00,11,3,False,False,,,,Free
2024-06-01 08:30:00,2.3565771940043363,50.399998,4.36167419890849,34,151,398.6574889899189,23.91960353992577,4,5.0,500,2024-06-01 08:30:00,2024-06-01 08:30:00,28.00842511010476,-97.7558048858711,,2024-06-01,306,0 days 01:15:00,6,5,False,False,,,,Free
2024-06-01 08:45:00,5.613173079749773,21.70435,24.746099155898616,35,120,258.26652785551033,116.66423738703452,23,5.0,503,2024-06-01 08:45:00,2024-06-01 08:45:00,29.412334721449064,-96.82835857390285,,2024-06-01,400,0 days 00:30:00,10,3,False,False,,,,Free
2024-06-01 08:45:00,2.86682856584001,14.400001,6.454956618258195,35,121,257.74822695215346,323.9184397145132,6,5.0,504,2024-06-01 08:45:00,2024-06-01 08:45:00,29.41751773048264,-94.75581660985318,,2024-06-01,439,0 days 00:00:00,12,3,False,False,,,,Free
2024-06-01 08:45:00,9.149219391197528,11.331145,65.74427869005311,35,126,276.4132573758875,108.81149662949494,61,5.0,508,2024-06-01 08:45:00,2024-06-01 08:45:00,29.23086742624526,-96.90688597923425,,2024-06-01,404,0 days 00:30:00,11,3,False,False,,,,Free
2024-06-01 08:45:00,7.500018848247305,21.77561,44.178868742067735,35,127,273.94416980868465,175.80866531185944,41,5.0,509,2024-06-01 08:45:00,2024-06-01 08:45:00,29.255558301917294,-96.23691431155572,,2024-06-01,443,0 days 00:00:00,13,3,False,False,,,,Free
2024-06-01 09:00:00,6.0809572821749045,25.244446,29.042485854716,36,116,256.1390413510549,326.5960483101867,27,5.0,528,2024-06-01 09:00:00,2024-06-01 09:00:00,29.43360958649362,-94.72904052466164,,2024-06-01,439,0 days 00:15:00,12,3,False,False,,,,Free
