Date,U_mor,V_mor,U_aft,V_aft,Cos_Theta,Sin_Theta,R,Cluster
1998-06-01,3.109760689195523,3.467759354121713,1.6042667435947489,6.624384108573153,0.9222992016751732,0.3864766261875847,0.9755875001385028,1
1998-06-02,2.0181286248945245,4.954412575862646,0.0179827564286623,5.286160895725665,0.9852265859075596,0.1712558741209601,0.9629051116623008,1
1998-06-03,-0.2398588782781239,5.255073358007719,-3.18752943168727,4.489212812427981,0.9455713846698366,-0.32541474535363,0.9787568492121574,0
1998-06-04,-1.4231189462643798,5.04382558099335,-2.531235587449832,4.65665789745241,0.9535065936858692,-0.3013721549804672,0.98975293652058,0
1998-06-05,-2.62677925337666,3.944200239401385,-3.656208954590292,0.855872751940014,0.5836921508336421,-0.8119750446012468,0.8510333837668533,0
1998-06-06,-1.7045352650159902,-5.7681888583194425,-2.091334132687518,-5.127205740638837,-0.9364355865129343,-0.3508395535172405,0.9393326895562452,3
1998-06-07,-4.496170782933641,-3.554384401515644,-7.114760522755843,0.5084133706996437,-0.1625863792822335,-0.9866943139959272,0.8846742810661478,3
1998-06-08,-3.998832825704348,6.774784999485737,-2.0311062947301024,7.269188392797676,0.9229629123880276,-0.3848888961196597,0.9837255846722016,0
1998-06-09,-0.4492121448048269,7.90096398998713,-3.269212663619656,3.776887545702611,0.9581549750840652,-0.286249967199394,0.973473304227027,0
1998-06-10,-1.2920921967128458,7.822426472380123,-2.583999172810545,4.737762507105022,0.9585076918785256,-0.2850666669565234,0.9813220345749544,0
1998-06-11,-0.8207288160780942,7.504278209192091,0.5899886201252401,7.8035905424871554,0.9991488410686452,-0.0412503744368813,0.9829959046789568,1
1998-06-12,0.6377460862128264,6.501398140204664,1.3756007133029835,7.047037426116766,0.9905980177020052,0.1368048512475276,0.995210642885712,1
1998-06-13,2.702511094398492,4.900475730567036,1.1608851447223896,8.312113207149897,0.9707216634028614,0.2402071027267551,0.9873035684465828,1
1998-06-14,5.745648767035872,7.668796167426803,4.532480355730777,9.032802958067682,0.8637759055345289,0.5038761603985692,0.9944966781209212,1
1998-06-15,3.8619138772338473,8.006157615135958,1.028815086401958,7.055825602024802,0.933653943317078,0.3581763729344395,0.9631826309180236,1
1998-06-16,1.115700953235635,2.198269784841898,-2.694583287126953,5.42735831062047,0.9608112359340982,-0.2772034792400533,0.9332638181402382,0
1998-06-17,-2.42753454317502,5.846074962210857,-3.7417447909941774,4.260631888160807,0.8582722511036646,-0.51319464434603,0.9852176905098806,0
1998-06-18,-1.1464390021996114,7.153708012466621,-2.745633911173356,5.286872689551562,0.9571756478468068,-0.2895078222933632,0.9879163661308334,0
1998-06-19,-0.1781084843238942,6.014354229000693,-1.237860230840799,6.835605935034792,0.995700851981964,-0.0926272819551093,0.9962789160488263,1
1998-06-20,0.0638395112982817,6.922537509621906,-0.3585818163808577,6.669791765680887,0.999726976801606,-0.0233660406385257,0.9940553201208976,1
1998-06-21,0.0625151990155571,7.784500696254392,-2.1654239897513192,5.614313297588585,0.9879453019685316,-0.1548033601647808,0.968840977550677,0
1998-06-22,0.3653461734195179,5.520422392039958,-3.298255555287498,4.300793544446902,0.939050496057144,-0.3437792399997881,0.955565779106534,0
1998-06-23,-0.8344237714235998,5.115936615532779,-2.567858377167056,4.51398198587653,0.9350103615748152,-0.3546203938688995,0.9873380174778654,0
1998-06-24,-0.181658494189591,3.9268758164351256,-2.6289121960734194,4.276329238201232,0.9320810359333004,-0.3622498343043178,0.9778194974408384,0
1998-06-25,-2.954736627249096,1.8284535060819096,-7.07773049537448,-0.399807541456348,0.1768775847032937,-0.9842328586414544,0.9072800036543224,3
1998-06-26,-1.477497694710001,2.328302647883195,-1.0389537896593222,2.965706824828169,0.836770887389472,-0.5475531773421057,0.9709383595746846,0
